PassengerId,Survived_pred,Prob
892,0,0.12
893,0,0.37
894,1,0.54
895,1,0.73
896,0,0.45
897,0,0.0455
898,0,0.2985
899,0,0.04333333333333333
900,1,0.93
901,0,0.02
902,0,0.0
903,0,0.30316666666666664
904,1,1.0
905,0,0.19
906,1,1.0
907,1,1.0
908,0,0.061499999999999985
909,1,0.56
910,1,0.96
911,0,0.36
912,0,0.14
913,0,0.39
914,1,0.94
915,0,0.24
916,1,1.0
917,0,0.0
918,1,1.0
919,1,0.61
920,1,0.5908333333333333
921,0,0.06
922,0,0.0
923,0,0.03
924,1,0.87
925,0,0.27
926,1,0.58
927,0,0.28
928,0,0.02
929,0,0.12
930,0,0.02
931,0,0.2762499999999999
932,0,0.075
933,1,0.5205476190476189
934,0,0.11166666666666666
935,1,0.992
936,1,1.0
937,0,0.04
938,0,0.24833333333333332
939,0,0.11185589410589404
940,1,0.99
941,1,0.93
942,0,0.5
943,0,0.04
944,1,0.98
945,1,0.96
946,0,0.11
947,0,0.01
948,0,0.0
949,0,0.05
950,0,0.0
951,1,1.0
952,0,0.06366666666666666
953,0,0.31033333333333335
954,0,0.003666666666666667
955,1,0.92
956,1,0.51
957,1,0.83
958,0,0.38
959,0,0.013333333333333332
960,0,0.09
961,1,1.0
962,1,0.5455357142857143
963,0,0.01
964,0,0.4
965,0,0.04666666666666666
966,1,1.0
967,0,0.31
968,0,0.0
969,1,0.9
970,0,0.0525
971,1,0.5455357142857143
972,1,0.84
973,0,0.19
974,0,0.4656666666666666
975,0,0.0
976,0,0.08
977,0,0.0
978,1,0.98
979,1,0.51
980,1,0.7223519397269399
981,1,0.81
982,0,0.37
983,0,0.44597222222222216
984,1,0.87
985,0,0.0
986,0,0.37566666666666665
987,0,0.43
988,1,1.0
989,1,0.56
990,0,0.22
991,0,0.025
992,1,0.99
993,0,0.02
994,0,0.11185589410589404
995,0,0.19
996,1,0.66
997,0,0.24
998,0,0.17
999,0,0.11185589410589404
1000,0,0.19
1001,0,0.01
1002,0,0.09208333333333334
1003,1,0.6471903235653237
1004,1,0.91
1005,1,0.93
1006,1,1.0
1007,0,0.06
1008,0,0.02
1009,1,0.95
1010,0,0.4
1011,1,1.0
1012,1,0.97
1013,0,0.11185589410589404
1014,1,1.0
1015,0,0.02013095238095238
1016,0,0.11185589410589404
1017,0,0.34
1018,0,0.23
1019,1,0.79
1020,0,0.4970833333333334
1021,0,0.01
1022,1,0.6239999999999999
1023,0,0.4
1024,0,0.01
1025,0,0.02
1026,0,0.03666666666666667
1027,0,0.04
1028,0,0.21333333333333335
1029,0,0.04
1030,0,0.12
1031,0,0.105
1032,0,0.07
1033,1,0.73
1034,0,0.27
1035,0,0.07
1036,1,0.5843333333333334
1037,0,0.18
1038,0,0.02
1039,0,0.0
1040,1,0.5205476190476189
1041,0,0.18
1042,1,1.0
1043,0,0.0
1044,0,0.02
1045,1,0.83
1046,0,0.07
1047,0,0.15
1048,1,0.99
1049,0,0.46
1050,1,0.5843333333333334
1051,1,0.52
1052,1,0.9364722222222222
1053,1,0.75
1054,1,0.9440000000000001
1055,0,0.12
1056,0,0.47958333333333336
1057,1,0.71
1058,0,0.22
1059,0,0.05
1060,1,0.97
1061,0,0.16
1062,0,0.0016666666666666666
1063,0,0.4133333333333333
1064,0,0.06
1065,0,0.1871558441558441
1066,0,0.03
1067,1,0.96
1068,1,0.96
1069,0,0.24
1070,1,0.95
1071,1,1.0
1072,0,0.0525
1073,0,0.41
1074,1,1.0
1075,0,0.11185589410589404
1076,1,0.78
1077,0,0.028333333333333332
1078,1,0.76
1079,0,0.2796666666666667
1080,0,0.03
1081,0,0.17566666666666664
1082,0,0.01
1083,0,0.22566666666666663
1084,1,0.69
1085,0,0.31
1086,1,0.69
1087,0,0.17
1088,1,0.85
1089,0,0.26
1090,0,0.04
1091,0,0.02
1092,1,0.95
1093,1,0.93
1094,0,0.14
1095,1,1.0
1096,0,0.01
1097,0,0.1723333333333333
1098,1,0.6402090825840824
1099,0,0.0175
1100,1,0.98
1101,0,0.03
1102,0,0.14400000000000002
1103,0,0.0
1104,0,0.11
1105,1,0.99
1106,0,0.16486507936507933
1107,0,0.0
1108,1,0.9
1109,0,0.41
1110,1,0.86
1111,0,0.0
1112,1,1.0
1113,0,0.0
1114,1,0.9508333333333333
1115,1,0.59
1116,1,0.84
1117,0,0.36
1118,0,0.09
1119,1,0.7223519397269399
1120,0,0.005
1121,0,0.22199999999999995
1122,0,0.15
1123,1,0.98
1124,0,0.07
1125,0,0.0
1126,0,0.34
1127,0,0.02
1128,0,0.45
1129,1,0.68
1130,1,0.8474999999999998
1131,1,1.0
1132,1,0.77
1133,1,0.92
1134,0,0.36
1135,0,0.0
1136,0,0.22
1137,0,0.05
1138,1,0.75
1139,0,0.03
1140,1,1.0
1141,0,0.04
1142,1,0.94
1143,1,0.73
1144,0,0.48
1145,0,0.0
1146,0,0.214
1147,0,0.0016666666666666666
1148,0,0.11185589410589404
1149,0,0.0
1150,1,0.8474999999999998
1151,0,0.41
1152,0,0.0
1153,0,0.01
1154,1,0.99
1155,1,0.97
1156,0,0.0425
1157,0,0.0
1158,0,0.01
1159,0,0.0016666666666666666
1160,0,0.02
1161,0,0.005
1162,0,0.2
1163,0,0.11185589410589404
1164,1,0.7
1165,1,0.95
1166,0,0.003333333333333333
1167,1,0.99
1168,0,0.08
1169,0,0.0
1170,0,0.01
1171,0,0.06333333333333332
1172,0,0.1
1173,1,0.93
1174,1,0.7223519397269399
1175,0,0.29
1176,0,0.36
1177,0,0.0
1178,0,0.02013095238095238
1179,0,0.38
1180,0,0.1871558441558441
1181,0,0.0
1182,0,0.04
1183,1,0.58
1184,0,0.1871558441558441
1185,0,0.1
1186,0,0.06
1187,0,0.0
1188,1,0.92
1189,0,0.06
1190,0,0.0
1191,1,0.67
1192,0,0.20066666666666666
1193,0,0.1
1194,0,0.02
1195,0,0.04
1196,1,0.7223519397269399
1197,1,0.9
1198,0,0.18
1199,1,0.83
1200,0,0.3
1201,0,0.1
1202,0,0.01
1203,1,0.61
1204,0,0.0016666666666666666
1205,0,0.22972619047619053
1206,1,1.0
1207,1,0.83
1208,0,0.43
1209,0,0.428
1210,0,0.37
1211,0,0.02
1212,0,0.19
1213,0,0.12173917748917751
1214,0,0.04
1215,1,0.6299999999999999
1216,1,1.0
1217,0,0.1
1218,1,0.95
1219,0,0.07
1220,0,0.12
1221,0,0.01
1222,1,0.97
1223,0,0.2125
1224,0,0.003333333333333333
1225,0,0.4
1226,0,0.32
1227,0,0.179
1228,0,0.3768333333333333
1229,0,0.044333333333333336
1230,0,0.04
1231,0,0.1871558441558441
1232,0,0.30216666666666664
1233,0,0.14400000000000002
1234,0,0.0
1235,1,1.0
1236,0,0.0
1237,1,0.85
1238,0,0.04
1239,0,0.41
1240,0,0.04
1241,1,0.95
1242,1,1.0
1243,0,0.01
1244,0,0.0
1245,0,0.12
1246,1,0.78
1247,0,0.48066666666666663
1248,1,0.98
1249,0,0.0
1250,0,0.11185589410589404
1251,1,0.85
1252,0,0.18
1253,1,0.97
1254,1,0.95
1255,1,0.73
1256,1,0.87
1257,0,0.03
1258,0,0.0
1259,0,0.09
1260,1,1.0
1261,0,0.49
1262,0,0.02
1263,1,1.0
1264,0,0.13
1265,0,0.4025000000000001
1266,1,1.0
1267,1,1.0
1268,0,0.18
1269,0,0.02
1270,0,0.21
1271,0,0.35
1272,0,0.11185589410589404
1273,0,0.0
1274,0,0.04
1275,0,0.36
1276,1,0.7
1277,1,1.0
1278,0,0.47
1279,0,0.01
1280,0,0.1227348484848485
1281,0,0.36
1282,0,0.33
1283,1,0.67
1284,0,0.13
1285,0,0.03
1286,0,0.24
1287,1,1.0
1288,0,0.15
