sepal_length,sepal_width,petal_length,petal_width,species_pred,prob
5.5,2.5,4.0,1.3,versicolor,0.9460729281046101
6.9,3.1,5.1,2.3,virginica,0.980166130654737
5.1,2.5,3.0,1.1,versicolor,0.9569555003801477
4.4,2.9,,0.2,setosa,0.6178799813735447
5.9,3.0,5.1,1.8,virginica,0.7460718829913876
5.5,3.5,1.3,0.2,setosa,0.9469898912337584
5.6,,3.6,1.3,versicolor,0.9513569258607442
6.5,3.0,5.2,2.0,virginica,0.9670905683798157
5.3,3.7,1.5,0.2,setosa,0.9508592642935947
5.1,3.4,1.5,,setosa,0.759773605666845
6.1,2.8,4.0,1.3,versicolor,0.9784682757485498
5.5,2.4,3.7,1.0,versicolor,0.9651474596452405
7.7,3.0,6.1,2.3,virginica,0.9761114849766381
6.9,3.1,4.9,1.5,versicolor,0.7222425573584609
6.0,2.2,5.0,1.5,virginica,0.8262080416133794
